City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Description
231,Belmonte,2,BR,2022-07-27 19:21:25,64,-15.8631,-38.8828,75.36,7.94,clear sky
232,Cardston,51,CA,2022-07-27 19:20:33,36,49.2,-113.3019,79.09,5.14,broken clouds
233,Chimbote,46,PE,2022-07-27 19:21:26,73,-9.0853,-78.5783,67.03,12.19,scattered clouds
234,Vulcan,80,RO,2022-07-27 19:21:26,57,45.3833,23.2667,66.06,4.56,broken clouds
235,Mandalgovi,100,MN,2022-07-27 19:20:31,52,45.7625,106.2708,59.97,11.45,light rain
236,Te Anau,100,NZ,2022-07-27 19:21:27,98,-45.4167,167.7167,42.21,2.71,overcast clouds
237,Haines Junction,100,CA,2022-07-27 19:21:27,58,60.7522,-137.5108,57.15,2.3,overcast clouds
238,Borazjan,100,IR,2022-07-27 19:21:28,58,29.2666,51.2159,92.28,5.48,overcast clouds
239,Half Moon Bay,100,US,2022-07-27 19:21:28,71,37.4636,-122.4286,82.58,14.97,overcast clouds
240,New Norfolk,28,AU,2022-07-27 19:21:29,79,-42.7826,147.0587,45.9,3.0,scattered clouds
241,Cayenne,75,GF,2022-07-27 19:21:29,1,4.9333,-52.3333,82.09,4.61,broken clouds
242,Avarua,75,CK,2022-07-27 19:21:30,64,-21.2078,-159.775,75.25,13.8,broken clouds
243,Winslow,100,US,2022-07-27 19:21:30,53,35.0242,-110.6974,78.98,11.5,overcast clouds
244,Todos Santos,10,MX,2022-07-27 19:21:31,77,23.45,-110.2167,97.05,8.99,clear sky
245,Port Hedland,3,AU,2022-07-27 19:19:46,59,-20.3167,118.5667,60.85,9.22,clear sky
246,Lakselv,100,NO,2022-07-27 19:21:31,82,70.0513,24.9718,55.22,21.85,overcast clouds
247,Tiznit,0,MA,2022-07-27 19:21:32,36,29.5833,-9.5,82.17,7.92,clear sky
248,Kobryn,39,BY,2022-07-27 19:21:32,63,52.2138,24.3564,62.15,4.85,scattered clouds
249,Sola,100,VU,2022-07-27 19:17:48,79,-13.8833,167.55,79.81,9.82,light rain
250,Alice Springs,0,AU,2022-07-27 19:19:42,69,-23.7,133.8833,29.75,0.0,clear sky
251,Kununurra,47,AU,2022-07-27 19:21:33,28,-15.7667,128.7333,71.58,12.66,scattered clouds
252,Milkovo,100,RU,2022-07-27 19:21:34,75,54.7167,158.6167,57.09,4.07,overcast clouds
253,Lebu,44,CL,2022-07-27 19:21:34,73,-37.6167,-73.65,54.28,11.16,scattered clouds
254,Manaure,92,CO,2022-07-27 19:21:35,50,11.7751,-72.4445,89.92,16.08,overcast clouds
255,Comodoro Rivadavia,20,AR,2022-07-27 19:21:35,61,-45.8667,-67.5,46.26,12.66,few clouds
256,Kassala,100,SD,2022-07-27 19:21:36,87,15.451,36.4,71.87,9.82,overcast clouds
257,Olga,100,RU,2022-07-27 19:21:36,98,43.7444,135.2892,67.3,4.21,overcast clouds
258,Chicama,23,PE,2022-07-27 19:21:37,63,-7.8447,-79.1469,63.14,10.6,few clouds
259,Arraial Do Cabo,0,BR,2022-07-27 19:21:37,69,-22.9661,-42.0278,76.96,19.57,clear sky
